; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	number
40	4	1	survQ4had	1
41	4	1	survQ4had	1
42	4	1	survQ4had	1
43	4	1	survQ4had	1
44	4	1	survQ4had	1
45	4	1	survQ4had	1
46	4	1	survQ4had	1
47	4	1	survQ4had	1
48	4	1	survQ4had	1
49	4	1	survQ4had	1
50	4	1	survQ4had	1
51	4	1	survQ4had	1
52	4	1	survQ4had	1
53	4	1	survQ4had	1
54	4	1	survQ4had	1
55	4	1	survQ4had	1
56	4	1	survQ4had	1
57	4	1	survQ4had	1
58	4	1	survQ4had	1
59	4	1	survQ4had	1
60	4	1	survQ4had	1
61	4	1	survQ4had	1
62	4	1	survQ4had	1
63	4	1	survQ4had	1
64	4	1	survQ4had	1
65	4	1	survQ4had	1
66	4	1	survQ4had	1
67	4	1	survQ4had	1
68	4	1	survQ4had	1
69	4	1	survQ4had	1
70	4	1	survQ4had	1
71	4	1	survQ4had	1
72	4	1	survQ4had	1
73	4	1	survQ4had	1
74	4	1	survQ4had	1
75	4	1	survQ4had	1
76	4	1	survQ4had	1
77	4	1	survQ4had	1
78	4	1	survQ4had	1
79	4	1	survQ4had	1
80	4	1	survQ4had	1
81	4	1	survQ4had	1
82	4	1	survQ4had	1
83	4	1	survQ4had	1
84	4	1	survQ4had	1
85	4	1	survQ4had	1
86	4	1	survQ4had	1
87	4	1	survQ4had	1
88	4	1	survQ4had	1
89	4	1	survQ4had	1
90	4	1	survQ4had	1
91	4	1	survQ4had	1
92	4	1	survQ4had	1
93	4	1	survQ4had	1
94	4	1	survQ4had	1
95	4	1	survQ4had	1
96	4	1	survQ4had	1
97	4	1	survQ4had	1
98	4	1	survQ4had	1
99	4	1	survQ4had	1
100	4	1	survQ4had	1
101	4	1	survQ4had	1
102	4	1	survQ4had	1
103	4	1	survQ4had	1
104	4	1	survQ4had	1
105	4	1	survQ4had	1
106	4	1	survQ4had	1
107	4	1	survQ4had	1
108	4	1	survQ4had	1
109	4	1	survQ4had	1
110	4	1	survQ4had	1
111	4	1	survQ4had	1
112	4	1	survQ4had	1
113	4	1	survQ4had	1
114	4	1	survQ4had	1
115	4	1	survQ4had	1
116	4	1	survQ4had	1
117	4	1	survQ4had	1
118	4	1	survQ4had	1
119	4	1	survQ4had	1
120	4	1	survQ4had	1
