; Gadget version 2.3.9 running on vano0001 Mon Apr  3 23:53:24 2023
; a simulation run was performed giving a likelihood value of 169590.77
; -- data --
switch	value		lower	upper	optimise
had.Linf	   87.426222	   69.94    104.9        0
had.k	   17.984382	     0.1      100        1
had.walpha	       0.012	   0.001      0.1        0
had.wbeta	        2.95	       2        4        0
had.bbin	0.0010000393	   0.001       50        1
had.init.scalar	      0.0001	   1e-05    1e+06        0
had.recl	   34.415807	   6.883    68.83        0
had.rec.scalar	       10000	    1000    1e+07        0
had.rec.40	   7.7088494	     0.1      100        1
had.rec.sd	   2.8693131	  0.6376    6.376        0
had.rec.41	   8.1515946	     0.1      100        1
had.rec.42	    15.91617	     0.1      100        1
had.rec.43	   6.6898625	     0.1      100        1
had.rec.44	   8.3552293	     0.1      100        1
had.rec.45	   7.2367604	     0.1      100        1
had.rec.46	   5.9557605	     0.1      100        1
had.rec.47	   7.4593507	     0.1      100        1
had.rec.48	   3.8753659	     0.1      100        1
had.rec.49	   5.6654765	     0.1      100        1
had.rec.50	   6.8848313	     0.1      100        1
had.rec.51	   12.918132	     0.1      100        1
had.rec.52	   6.1649554	     0.1      100        1
had.rec.53	   1.9292389	     0.1      100        1
had.rec.54	    2.699039	     0.1      100        1
had.rec.55	   2.2827638	     0.1      100        1
had.rec.56	   2.2922892	     0.1      100        1
had.rec.57	   2.3317957	     0.1      100        1
had.rec.58	   3.0097398	     0.1      100        1
had.rec.59	   2.6495236	     0.1      100        1
had.rec.60	   1.4483551	     0.1      100        1
had.rec.61	   1.0993996	     0.1      100        1
had.rec.62	    1.691558	     0.1      100        1
had.rec.63	  0.95204013	     0.1      100        1
had.rec.64	   1.8653474	     0.1      100        1
had.rec.65	   3.9386222	     0.1      100        1
had.rec.66	   13.730683	     0.1      100        1
had.rec.67	   27.010432	     0.1      100        1
had.rec.68	   3.0884871	     0.1      100        1
had.rec.69	   6.0406987	     0.1      100        1
had.rec.70	   2.6705114	     0.1      100        1
had.rec.71	   3.2835598	     0.1      100        1
had.rec.72	    2.477535	     0.1      100        1
had.rec.73	    2.775767	     0.1      100        1
had.rec.74	   2.1016059	     0.1      100        1
had.rec.75	   2.3980599	     0.1      100        1
had.rec.76	   2.6071233	     0.1      100        1
had.rec.77	   3.4954493	     0.1      100        1
had.rec.78	   5.0636606	     0.1      100        1
had.rec.79	   16.849598	     0.1      100        1
had.rec.80	   17.214029	     0.1      100        1
had.rec.81	    2.937516	     0.1      100        1
had.rec.82	   8.4740236	     0.1      100        1
had.rec.83	   6.1986919	     0.1      100        1
had.rec.84	   9.4968125	     0.1      100        1
had.rec.85	    17.89541	     0.1      100        1
had.rec.86	   12.221344	     0.1      100        1
had.rec.87	   4.3612313	     0.1      100        1
had.rec.88	   7.2721458	     0.1      100        1
had.rec.89	   6.2030665	     0.1      100        1
had.rec.90	    6.059754	     0.1      100        1
had.rec.91	   4.7295275	     0.1      100        1
had.rec.92	   3.9568107	     0.1      100        1
had.rec.93	   5.5712928	     0.1      100        1
had.rec.94	   5.2113969	     0.1      100        1
had.rec.95	   12.995067	     0.1      100        1
had.rec.96	   27.908752	     0.1      100        1
had.rec.97	   10.007659	     0.1      100        1
had.rec.98	   4.8036731	     0.1      100        1
had.rec.99	   7.2562644	     0.1      100        1
had.rec.100	   5.0769236	     0.1      100        1
had.rec.101	   4.8618983	     0.1      100        1
had.rec.102	   3.8240826	     0.1      100        1
had.rec.103	   4.1222631	     0.1      100        1
had.rec.104	   4.2689346	     0.1      100        1
had.rec.105	   3.4202175	     0.1      100        1
had.rec.106	   3.1640448	     0.1      100        1
had.rec.107	   3.5645423	     0.1      100        1
had.rec.108	   2.4942865	     0.1      100        1
had.rec.109	    2.128415	     0.1      100        1
had.rec.110	   2.4027279	     0.1      100        1
had.rec.111	   2.4669822	     0.1      100        1
had.rec.112	   1.9916925	     0.1      100        1
had.rec.113	   2.4416997	     0.1      100        1
had.rec.114	   1.4156947	     0.1      100        1
had.rec.115	   2.0577732	     0.1      100        1
had.rec.116	   1.7818564	     0.1      100        1
had.rec.117	   1.8446797	     0.1      100        1
had.rec.118	   3.0008645	     0.1      100        1
had.rec.119	   2.2853874	     0.1      100        1
had.rec.120	  0.15485707	     0.1      100        1
had.surQ2.alpha	  0.10000603	     0.1        2        1
had.surQ2.l50	   65.746693	      22      128        1
had.surQ4.alpha	  0.10000213	     0.1        2        1
had.surQ4.l50	   72.283165	      12      123        1
had.com.alpha	  0.25402603	     0.1        3        1
had.com.l50	   65.870489	      44      105        1
