; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	number
40	1	1	survQ1cod	1
41	1	1	survQ1cod	1
42	1	1	survQ1cod	1
43	1	1	survQ1cod	1
44	1	1	survQ1cod	1
45	1	1	survQ1cod	1
46	1	1	survQ1cod	1
47	1	1	survQ1cod	1
48	1	1	survQ1cod	1
49	1	1	survQ1cod	1
50	1	1	survQ1cod	1
51	1	1	survQ1cod	1
52	1	1	survQ1cod	1
53	1	1	survQ1cod	1
54	1	1	survQ1cod	1
55	1	1	survQ1cod	1
56	1	1	survQ1cod	1
57	1	1	survQ1cod	1
58	1	1	survQ1cod	1
59	1	1	survQ1cod	1
60	1	1	survQ1cod	1
61	1	1	survQ1cod	1
62	1	1	survQ1cod	1
63	1	1	survQ1cod	1
64	1	1	survQ1cod	1
65	1	1	survQ1cod	1
66	1	1	survQ1cod	1
67	1	1	survQ1cod	1
68	1	1	survQ1cod	1
69	1	1	survQ1cod	1
70	1	1	survQ1cod	1
71	1	1	survQ1cod	1
72	1	1	survQ1cod	1
73	1	1	survQ1cod	1
74	1	1	survQ1cod	1
75	1	1	survQ1cod	1
76	1	1	survQ1cod	1
77	1	1	survQ1cod	1
78	1	1	survQ1cod	1
79	1	1	survQ1cod	1
80	1	1	survQ1cod	1
81	1	1	survQ1cod	1
82	1	1	survQ1cod	1
83	1	1	survQ1cod	1
84	1	1	survQ1cod	1
85	1	1	survQ1cod	1
86	1	1	survQ1cod	1
87	1	1	survQ1cod	1
88	1	1	survQ1cod	1
89	1	1	survQ1cod	1
90	1	1	survQ1cod	1
91	1	1	survQ1cod	1
92	1	1	survQ1cod	1
93	1	1	survQ1cod	1
94	1	1	survQ1cod	1
95	1	1	survQ1cod	1
96	1	1	survQ1cod	1
97	1	1	survQ1cod	1
98	1	1	survQ1cod	1
99	1	1	survQ1cod	1
100	1	1	survQ1cod	1
101	1	1	survQ1cod	1
102	1	1	survQ1cod	1
103	1	1	survQ1cod	1
104	1	1	survQ1cod	1
105	1	1	survQ1cod	1
106	1	1	survQ1cod	1
107	1	1	survQ1cod	1
108	1	1	survQ1cod	1
109	1	1	survQ1cod	1
110	1	1	survQ1cod	1
111	1	1	survQ1cod	1
112	1	1	survQ1cod	1
113	1	1	survQ1cod	1
114	1	1	survQ1cod	1
115	1	1	survQ1cod	1
116	1	1	survQ1cod	1
117	1	1	survQ1cod	1
118	1	1	survQ1cod	1
119	1	1	survQ1cod	1
120	1	1	survQ1cod	1
